tooltip_id,label,object,property
"L1-disp-pwr","L1 Power: %s","L1-disp-pwr","/fdm/jsbsim/systems/electrical/display/L1-pwr-switch"
"L1-disp-dim","L1 Brightness: %s","L1-disp-dim","sim/model/shuttle/controls/PFD/mode1"
"L1-disp-pwr","L2 Power: %s","L2-disp-pwr","/fdm/jsbsim/systems/electrical/display/L2-pwr-switch"
"L2-disp-dim","L2 Brightness: %s","L2-disp-dim","sim/model/shuttle/controls/PFD/mode2"
"C1-disp-pwr","C1 Power: %s","C1-disp-pwr","/fdm/jsbsim/systems/electrical/display/C1-pwr-switch"
"C1-disp-dim","C1 Brightness: %s","C1-disp-dim","sim/model/shuttle/controls/PFD/mode3"
"C2-disp-pwr","C2 Power: %s","C2-disp-pwr","/fdm/jsbsim/systems/electrical/display/C2-pwr-switch"
"C2-disp-dim","C2 Brightness: %s","C2-disp-dim","sim/model/shuttle/controls/PFD/mode4"
"C3-disp-pwr","C3 Power: %s","C3-disp-pwr","/fdm/jsbsim/systems/electrical/display/C3-pwr-switch"
"C3-disp-dim","C3 Brightness: %s","C3-disp-dim","sim/model/shuttle/controls/PFD/mode5"
"C4-disp-pwr","C4 Power: %s","C4-disp-pwr","/fdm/jsbsim/systems/electrical/display/C4-pwr-switch"
"C4-disp-dim","C4 Brightness: %s","C4-disp-dim","sim/model/shuttle/controls/PFD/mode6"
"C5-disp-pwr","C5 Power: %s","C5-disp-pwr","/fdm/jsbsim/systems/electrical/display/C5-pwr-switch"
"C5-disp-dim","C5 Brightness: %s","C5-disp-dim","sim/model/shuttle/controls/PFD/mode7"
"R1-disp-pwr","R1 Power: %s","R1-disp-pwr","/fdm/jsbsim/systems/electrical/display/R1-pwr-switch"
"R1-disp-dim","R1 Brightness: %s","R1-disp-dim","sim/model/shuttle/controls/PFD/mode8"
"R2-disp-pwr","R2 Power: %s","R2-disp-pwr","/fdm/jsbsim/systems/electrical/display/R2-pwr-switch"
"R2-disp-dim","R2 Brightness: %s","R2-disp-dim","sim/model/shuttle/controls/PFD/mode9"
"A6-disp-pwr","A6 Power: %s","A6-disp-pwr","/fdm/jsbsim/systems/electrical/display/A6-pwr-switch"
"A6-disp-dim","A6 Brightness: %s","A6-disp-dim","sim/model/shuttle/controls/PFD/mode10"
"R11-disp-pwr","R11 Power: %s","R11-disp-pwr","/fdm/jsbsim/systems/electrical/display/R11-pwr-switch"
"R11-disp-dim","R11 Brightness: %s","R11-disp-dim","sim/model/shuttle/controls/PFD/mode11"
"hud-pwr-cmd-switch","HUD Power: %s","hud-pwr-cmd-switch","/fdm/jsbsim/systems/electrical/hud/cmd-pwr-switch"
"hud-cmd-dim-knob","HUD Brightness: %3d%%","hud-cmd-dim-knob","/fdm/jsbsim/systems/light/hud-dim-cmd"
"hud-mode-cmd-switch","HUD Mode: %s","hud-mode-cmd-switch","/fdm/jsbsim/systems/hud/mode-switch-cdr"
"hud-mode-cmd-switch","HUD Brightness Mode: %s","hud-bright-cmd-switch","/fdm/jsbsim/systems/light/hud-bright-cmd"
"hud-pwr-plt-switch","HUD Power: %s","hud-pwr-plt-switch","/fdm/jsbsim/systems/electrical/hud/plt-pwr-switch"
"hud-plt-dim-knob","Hud Brightness: %3d%%","hud-plt-dim-knob","/fdm/jsbsim/systems/light/hud-dim-plt"
"hud-mode-plt-switch","HUD Mode: %s","hud-mode-plt-switch","/fdm/jsbsim/systems/hud/mode-switch-plt"
"hud-mode-plt-switch","HUD Brightness Mode: %s","hud-bright-plt-switch","/fdm/jsbsim/systems/light/hud-bright-plt"
"button-cmd-od-control-auto.001","Orbital DAP Control Auto","button_light_od_control_auto.001","/controls/shuttle/button_cmd_od_control_auto.001-ss"
"button-cmd-od-control-inrtl.001","Orbital DAP Control Inertial","button_light_od_control_inrtl.001","/controls/shuttle/button_cmd_od_control_inrtl.001-ss"
"button-cmd-od-control-lvlh.001","Orbital DAP Control LVLH","button_light_od_control_lvlh.001","/controls/shuttle/button_cmd_od_control_lvlh.001-ss"
"button-cmd-od-control-free.001","Orbital DAP Control Free","button_light_od_control_free.001","/controls/shuttle/button_cmd_od_control_free.001-ss"
"button-cmd-od-control-select-a.001","Orbital DAP Select A","button_light_od_select_a.001","/controls/shuttle/button_cmd_od_control_select_a.001-ss"
"button-cmd-od-control-select-b.001","Orbital DAP Select B","button_light_od_select_b.001","/controls/shuttle/button_cmd_od_control_select_b.001-ss"
"button-cmd-mm-xblank.001","Manual Mode Blank X","button-cmd-mm-xblank.001","/controls/shuttle/button_cmd_mm_xblank.001-ss"
"button-cmd-mm-lowz.001","Manual Mode Low Z","button_light_mm_lowz.001","/controls/shuttle/button_cmd_mm_lowz.001-ss"
"button-cmd-mm-highz.001","Manual Mode High Z","button_light_mm_highz.001","/controls/shuttle/button_cmd_mm_highz.001-ss"
"button-cmd-mm-x-norm.001","Translation X Norm","button_light_mm_x_norm.001","/controls/shuttle/button_cmd_mm_x_norm.001-ss"
"button-cmd-mm-x-pulse.001","Translation X Pulse","button_light_mm_x_pulse.001","/controls/shuttle/button_cmd_mm_x_pulse.001-ss"
"button-cmd-mm-y-norm.001","Translation Y Norm","button_light_mm_y_norm.001","/controls/shuttle/button_cmd_mm_y_norm.001-ss"
"button-cmd-mm-y-pulse.001","Translation Y Pulse","button_light_mm_y_pulse.001","/controls/shuttle/button_cmd_mm_y_pulse.001-ss"
"button-cmd-mm-z-norm.001","Translation Z Norm","button_light_mm_z_norm.001","/controls/shuttle/button_cmd_mm_z_norm.001-ss"
"button-cmd-mm-z-pulse.001","Translation Z Pulse","button_light_mm_z_pulse.001","/controls/shuttle/button_cmd_mm_z_pulse.001-ss"
"button-cmd-mm-pri.001","Rotation Primary","button_light_mm_pri.001","/controls/shuttle/button_cmd_mm_pri.001-ss"
"button-cmd-mm-alt.001","Rotation Alternate","button_light_mm_alt.001","/controls/shuttle/button_cmd_mm_alt.001-ss"
"button-cmd-mm-vern.001","Rotation Vernier","button_light_mm_vern.001","/controls/shuttle/button_cmd_mm_vern.001-ss"
